id,nombre,apellido,salario_mensual,deudas,retefuente,correo,telefono,cargo
2001,Laura,Díaz García,11149169,False,1.00,Laura39@correo.com,3935974530,Desarrollador Avanzado
2002,Javier,García Díaz,17333079,True,1.00,Javier30@correo.com,5794459317,Desarrollador Junior
2003,Patricia,Carvajal Casillas,4738179,False,1.00,Patricia36@correo.com,6169722894,Arquitecto
2004,Carmen,López González,1558774,False,1.00,Carmen53@correo.com,6644922416,Arquitecto
2005,Elena,Torres Sánchez,8410065,True,1.00,Elena38@correo.com,4060334300,Desarrollador Avanzado
2006,Miguel,López González,13017745,True,1.00,Miguel40@correo.com,2403056678,Desarrollador Avanzado
2007,Patricia,García Díaz,9723380,False,1.00,Patricia38@correo.com,4056799595,Desarrollador Junior
2008,Lucía,Torres Rodríguez,16677631,False,1.00,Lucía52@correo.com,6817039784,Desarrollador Intermedio
2009,Sofía,Díaz García,2130530,True,1.00,Sofía53@correo.com,7071936985,Desarrollador Intermedio
2010,Sofía,Arisizabal Florez,1766839,True,1.00,Sofía29@correo.com,1859442511,Desarrollador Avanzado
2011,Silvia,López González,8904410,True,1.00,Silvia53@correo.com,9112459583,Desarrollador Junior
2012,José,Fernández González,17981493,False,1.00,José32@correo.com,1370481403,Desarrollador Avanzado
2013,Miguel,Sánchez López,8964468,True,1.00,Miguel60@correo.com,9483181499,Arquitecto
2014,Carmen,Rodríguez López,15218611,False,1.00,Carmen53@correo.com,516362753,Arquitecto
2015,Ana,Pérez García,15621648,False,1.00,Ana40@correo.com,5649875958,Desarrollador Junior
2016,Sofía,Martínez Sánchez,15783134,True,1.00,Sofía24@correo.com,4217318600,Arquitecto
2017,Miguel,Torres Sánchez,7158160,True,1.00,Miguel42@correo.com,6881001454,Arquitecto
2018,María,Díaz Martínez,2984351,True,1.00,María59@correo.com,1517381032,Desarrollador Intermedio
2019,Juan,González Pérez,14831634,False,1.00,Juan55@correo.com,4141693233,Desarrollador Avanzado
2020,Carlos,Torres Sánchez,2842719,False,1.00,Carlos28@correo.com,1649866965,Arquitecto
2021,Carmen,Sánchez García,12452714,True,1.00,Carmen60@correo.com,9573375583,Desarrollador Avanzado
2022,Miguel,Martínez Sánchez,17691560,False,1.00,Miguel50@correo.com,3839061026,Desarrollador Intermedio
2023,Ana,Hernández Rodríguez,4216213,False,1.00,Ana42@correo.com,955497130,Desarrollador Avanzado
2024,Javier,Fernández Pérez,4262606,True,1.00,Javier27@correo.com,1335281306,Desarrollador Intermedio
2025,Laura,Carvajal Casillas,5603847,True,1.00,Laura27@correo.com,5186994239,Desarrollador Avanzado
2026,Pedro,Fernández Pérez,7213430,True,1.00,Pedro28@correo.com,1466037180,Desarrollador Intermedio
2027,José,López Pérez,8372365,False,1.00,José54@correo.com,2111102163,Desarrollador Avanzado
2028,Pedro,Hernández Rodríguez,6156546,True,1.00,Pedro58@correo.com,6636139370,Desarrollador Intermedio
2029,José,Torres Sánchez,9518527,True,1.00,José55@correo.com,3382914770,Desarrollador Junior
2030,Luis,García Díaz,4470139,True,1.00,Luis35@correo.com,1544107122,Arquitecto
2031,Lucía,López González,4998500,False,1.00,Lucía47@correo.com,8586025068,Desarrollador Intermedio
2032,Fernando,Díaz Martínez,14471713,True,1.00,Fernando25@correo.com,3071630232,Desarrollador Junior
2033,Pedro,López González,15819945,True,1.00,Pedro25@correo.com,9488266118,Desarrollador Intermedio
2034,Lucía,García Díaz,2927170,True,1.00,Lucía44@correo.com,1220531855,Arquitecto
2035,Elena,Martínez Sánchez,16113205,True,1.00,Elena28@correo.com,2663275708,Desarrollador Avanzado
2036,Pedro,Torres Sánchez,13843423,False,1.00,Pedro52@correo.com,4439502985,Desarrollador Intermedio
2037,Ricardo,Díaz García,16582887,True,1.00,Ricardo24@correo.com,886033509,Desarrollador Avanzado
2038,María,Pérez García,12490655,False,1.00,María56@correo.com,4836743127,Desarrollador Junior
2039,Javier,Arisizabal Florez,7735395,True,1.00,Javier57@correo.com,4868698975,Desarrollador Avanzado
2040,María,Díaz García,7742311,False,1.00,María53@correo.com,9037385358,Desarrollador Junior
2041,Miguel,Sánchez López,5699244,False,1.00,Miguel25@correo.com,1369552393,Desarrollador Avanzado
2042,Patricia,Gómez Pérez,2370563,True,1.00,Patricia31@correo.com,6024177471,Desarrollador Intermedio
2043,Javier,Torres Sánchez,5097043,False,1.00,Javier30@correo.com,3021604289,Desarrollador Avanzado
2044,Ricardo,Gómez Pérez,11384856,False,1.00,Ricardo58@correo.com,1731625938,Arquitecto
2045,Andrés,Hernández Rodríguez,3670641,False,1.00,Andrés40@correo.com,317454376,Desarrollador Intermedio
2046,Andrés,Sánchez García,6047548,False,1.00,Andrés31@correo.com,373852545,Desarrollador Intermedio
2047,Isabel,Fernández González,5588700,False,1.00,Isabel44@correo.com,4589898815,Arquitecto
2048,Lucía,Ramírez López,6258698,True,1.00,Lucía54@correo.com,8596863412,Desarrollador Intermedio
2049,Laura,Torres Sánchez,7927061,False,1.00,Laura49@correo.com,1708549856,Arquitecto
2050,Carlos,Fernández González,11181823,True,1.00,Carlos33@correo.com,1024460845,Desarrollador Intermedio
2051,Sofía,Torres Rodríguez,9438425,True,1.00,Sofía49@correo.com,3203234250,Arquitecto
2052,Patricia,López González,16889015,False,1.00,Patricia48@correo.com,6926408144,Desarrollador Intermedio
2053,Ricardo,Martínez Sánchez,2820994,True,1.00,Ricardo34@correo.com,5489246958,Desarrollador Junior
2054,Laura,Ramírez López,14442154,False,1.00,Laura33@correo.com,3153389002,Desarrollador Intermedio
2055,Juan,Torres Rodríguez,9319523,True,1.00,Juan58@correo.com,7630907257,Desarrollador Junior
2056,José,López González,1210792,True,1.00,José60@correo.com,3930931544,Desarrollador Intermedio
2057,Silvia,Arisizabal Florez,6992406,False,1.00,Silvia41@correo.com,784067695,Desarrollador Junior
